Tipologia Istituto,Istituto,Città,Sede (Principale/Decentrata),Status
Accademie di Belle Arti,Accademia di Belle Arti Statale di Bologna,Bologna,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Ravenna,Ravenna,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Roma,Roma,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Frosinone,Frosinone,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Genova,Genova,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Milano (Brera),Milano,Principale,Pubblico/Statale
Accademie di Belle Arti,Politecnico delle Arti Statale - Sezione Belle Arti “G. Carrara”,Bergamo,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Macerata,Macerata,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Urbino,Urbino,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Torino (Albertina),Torino,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Bari,Bari,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Foggia,Foggia,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Lecce,Lecce,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Sassari,Sassari,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Palermo,Palermo,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Catania,Catania,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Firenze,Firenze,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Carrara,Carrara,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Perugia,Perugia,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Venezia,Venezia,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Verona,Verona,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Catanzaro,Catanzaro,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Reggio Calabria,Reggio Calabria,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di Napoli,Napoli,Principale,Pubblico/Statale
Accademie di Belle Arti,Accademia di Belle Arti Statale di L'Aquila,L'Aquila,Principale,Pubblico/Statale
Accademie Nazionali,Accademia Nazionale d'Arte Drammatica “Silvio D'Amico”,Roma,Principale,Pubblico/Statale
Accademie Nazionali,Accademia Nazionale di Danza,Roma,Principale,Pubblico/Statale
Conservatori di Musica e ISSM,"Conservatorio Statale di Musica L'Aquila ""Alfredo Casella""",L'Aquila,Principale,Pubblico/Statale
Conservatori di Musica e ISSM,"Conservatorio Statale di Musica Pescara ""Luisa d'Annunzio""",Pescara,Principale,Pubblico/Statale
Conservatori di Musica e ISSM,Conservatorio Statale di Musica Teramo “Gaetano Braga” (ISSMC),Teramo,Principale,Pubblico/Statale
Conservatori di Musica e ISSM,"Conservatorio Statale di Musica Potenza ""Gesualdo da Venosa""",Potenza,Principale,Pubblico/Statale
Conservatori di Musica e ISSM,"Conservatorio Statale di Musica Matera ""Egidio Romualdo Duni""",Matera,Principale,Pubblico/Statale
Conservatori di Musica e ISSM,"Conservatorio Statale di Musica Cosenza ""Stanislao Giacomantonio”",Cosenza,Principale,Pubblico/Statale
Conservatori di Musica e ISSM,Conservatorio Statale di Musica Nocera Terinese (CZ) “Pyotr Ilyich Tchaikovsky”,Nocera Terinese,Principale,Pubblico/Statale
Conservatori di Musica e ISSM,"Conservatorio Statale di Musica Reggio Calabria ""Francesco Cilea""",Reggio Calabria,Principale,Pubblico/Statale
Conservatori di Musica e ISSM,"Conservatorio Statale di Musica Vibo Valentia ""Fausto Torrefranca""",Vibo Valentia,Principale,Pubblico/Statale
Conservatori di Musica e ISSM,"Conservatorio Statale di Musica Napoli ""S. Pietro a Majella""",Napoli,Principale,Pubblico/Statale
Conservatori di Musica e ISSM,"Conservatorio Statale di Musica Avellino ""Domenico Cimarosa""",Avellino,Principale,Pubblico/Statale
